date,BOM Data,Weather Station Data
07/06/2019 23:00,11.51,0.0
08/06/2019 00:00,5.53,0.0
08/06/2019 01:00,5.53,0.0
08/06/2019 02:00,5.53,0.0
08/06/2019 03:00,5.53,0.0
08/06/2019 04:00,5.53,0.0
08/06/2019 05:00,5.53,0.0
08/06/2019 06:00,5.53,0.0
08/06/2019 07:00,5.53,28.86
08/06/2019 08:00,5.53,50.87
08/06/2019 09:00,5.53,88.13
08/06/2019 10:00,5.53,82.3
08/06/2019 11:00,5.53,106.825
08/06/2019 12:00,5.53,69.155
08/06/2019 13:00,5.53,27.375
08/06/2019 14:00,5.53,25.395
08/06/2019 15:00,5.53,13.13
08/06/2019 16:00,5.53,38.13
08/06/2019 17:00,5.53,0.0
08/06/2019 18:00,5.53,0.0
08/06/2019 19:00,5.53,0.0
08/06/2019 20:00,5.53,0.0
08/06/2019 21:00,5.53,0.0
08/06/2019 22:00,5.53,0.0
08/06/2019 23:00,5.53,0.0
09/06/2019 00:00,13.68,0.0
09/06/2019 01:00,13.68,0.0
09/06/2019 02:00,13.68,0.0
09/06/2019 03:00,13.68,0.0
09/06/2019 04:00,13.68,0.0
09/06/2019 05:00,13.68,0.0
09/06/2019 06:00,13.68,0.0
09/06/2019 07:00,13.68,0.0
09/06/2019 08:00,13.68,121.91
09/06/2019 09:00,13.68,209.085
09/06/2019 10:00,13.68,356.85
09/06/2019 11:00,13.68,355.76
09/06/2019 12:00,13.68,318.985
09/06/2019 13:00,13.68,229.775
09/06/2019 14:00,13.68,196.305
09/06/2019 15:00,13.68,138.58
09/06/2019 16:00,13.68,52.33
09/06/2019 17:00,13.68,0.0
09/06/2019 18:00,13.68,0.0
09/06/2019 19:00,13.68,0.0
09/06/2019 20:00,13.68,0.0
09/06/2019 21:00,13.68,0.0
09/06/2019 22:00,13.68,0.0
09/06/2019 23:00,13.68,0.0
10/06/2019 00:00,14.19,0.0
10/06/2019 01:00,14.19,0.0
10/06/2019 02:00,14.19,0.0
10/06/2019 03:00,14.19,0.0
10/06/2019 04:00,14.19,0.0
10/06/2019 05:00,14.19,0.0
10/06/2019 06:00,14.19,0.0
10/06/2019 07:00,14.19,23.39
